policy.number,total,ded,limit_theft,limit_forgery,limit_money,limit_outside_robbery,limit_safe_burglary,limit_premises_burglary
PPK0001000,,1000,,,,,,
PPK0001001,,2500,,,,,,
PPK0001002,,5000,,,,,,
PPK0001003,300,1000,,,5000,5000,10000,10000
PPK0001004,,2500,,,,,,
PPK0001005,,1000,,,,,,
PPK0001007,238,2500,,,5000,5000,,
PPK0001008,,2500,,,,,,
PPK0001009,295,1000,,10000,10000,10000,10000,10000
PPK0001010,,1000,,,2500,2500,,
PPK0001011,,2500,,,,,,
PPK0001012,95,2500,,,5000,5000,,
PPK0001013,,1000,,,,,,
PPK0001014,290,1000,,,5000,5000,10000,
PPK0001015,229,1000,,,5000,5000,10000,10000
PPK0001016,114,1000,,,5000,5000,,
PPK0001019,,1000,,,,,,
PPK0001020,,2500,,,,,,
PPK0001021,,1000,,,,,,
PPK0001022,,1000,,,,,,
PPK0001023,305,1000,,,10000,10000,10000,10000
PPK0001024,,1000,,,,,,
PPK0001026,,,,,,,,
PPK0001027,440,1000,10000,,10000,10000,10000,10000
PPK0001028,,2500,,,,,,
PPK0001029,,1000,,,,,,
PPK0001030,392,1000,,,10000,10000,10000,10000
PPK0001031,,2500,,,,,,
PPK0001032,,1000,,,,,,
PPK0001033,275,1000,,,10000,10000,10000,10000
PPK0001034,,1000,,,,,,
PPK0001035,,1000,,,,,,
PPK0001036,,1000,,,,,,
PPK0001037,,2500,,,,,,
PPK0001038,,1000,,,,,,
PPK0001039,400,1000,,,10000,10000,10000,10000
PPK0001040,,1000,,,,,,
PPK0001041,,1000,,,,,,
PPK0001042,,2500,,,,,,
PPK0001043,,1000,,,,,,
PPK0001044,211,2500,,,10000,10000,,5000
PPK0001045,275,1000,,,10000,10000,10000,10000
PPK0001046,350,1000,,,5000,5000,10000,10000
PPK0001047,275,1000,,,10000,10000,10000,10000
PPK0001048,325,1000,,,10000,10000,10000,10000
PPK0001049,,2500,,,,,,
PPK0001050,,2500,,,,,,
PPK0001051,356,1000,,,10000,10000,10000,10000
PPK0001052,,1000,,,,,,
PPK0001053,169,1000,5000,,10000,10000,,
PPK0001054,,1000,,,,,,
PPK0001055,360,1000,,,10000,10000,10000,10000
PPK0001056,,1000,,,,,,
PPK0001057,,2500,,,,,,
PPK0001058,,2500,,,,,,
PPK0001059,,2500,,,,,,
PPK0001060,,2500,,,,,,
PPK0001061,,1000,,,,,,
PPK0001062,,2500,,,,,,
PPK0001063,275,1000,,,10000,10000,10000,10000
PPK0001064,315,2500,,,20000,20000,10000,10000
PPK0001065,,2500,,,,,,
PPK0001068,,2500,,,,,,
PPK0001070,,1000,,,,,,
PPK0001071,325,1000,,,5000,5000,10000,10000
PPK0001072,390,1000,,,5000,5000,10000,10000
PPK0001073,75,1000,,,10000,10000,,
PPK0001074,,5000,,,,,,
PPK0001075,,5000,,,,,,
PPK0001076,,1000,,,,,,
PPK0001077,,1000,,,5000,5000,,
PPK0001078,,1000,,,,,,
PPK0001079,75,1000,,,10000,10000,,
PPK0001080,315,1000,,,20000,20000,10000,10000
PPK0001081,75,2500,,,10000,10000,,
PPK0001082,,1000,,,10000,10000,10000,10000
PPK0001083,275,2500,,,10000,10000,10000,10000
PPK0001084,275,1000,,,10000,10000,10000,10000
PPK0001085,,1000,,,,,,
PPK0001086,,1000,,,,,,
PPK0001087,,2500,,,,,,
PPK0001088,,1000,,,,,,
PPK0001089,,,,,,,,
PPK0001090,75,2500,,,10000,10000,,
PPK0001091,270,1000,,,5000,5000,10000,10000
PPK0001093,,2500,,,,,,
PPK0001094,,2500,,,,,,
PPK0001095,,2500,,,,,,
PPK0001096,245,1000,,,5000,5000,10000,10000
PPK0001097,,2500,,,,,,
PPK0001098,295,1000,,,5000,5000,10000,10000
PPK0001099,270,1000,,,5000,5000,10000,10000
PPK0001100,,1000,,,,,,
PPK0001101,,1000,,,,,,
PPK0001102,383,1000,,,10000,10000,,25000
PPK0001103,,1000,,,,,,
PPK0001104,,,,,,,,
PPK0001105,,1000,,,,,,
PPK0001106,245,2500,,,5000,5000,10000,10000
PPK0001107,250,1000,,,10000,10000,10000,10000
PPK0001108,360,1000,,,10000,10000,10000,10000
PPK0001109,,1000,,,,,,
PPK0001110,45,1000,,,5000,5000,,
PPK0001111,245,1000,,,5000,5000,10000,10000
PPK0001112,,1000,,,,,,
PPK0001113,135,1000,25000,,,,,
PPK0001114,,2500,,,10000,10000,,
PPK0001115,75,2500,,,10000,10000,,
PPK0001116,75,2500,,,10000,10000,,
PPK0001117,233,1000,,,5000,5000,10000,10000
PPK0001118,,5000,,,,,,
PPK0001119,245,1000,,,5000,5000,10000,10000
PPK0001120,,5000,,,,,,
PPK0001121,,2500,,,,,,
PPK0001122,,2500,,,,,,
PPK0001123,245,1000,,,5000,5000,10000,10000
PPK0001124,250,1000,,,10000,10000,10000,10000
PPK0001125,,1000,,,,,,
PPK0001126,325,5000,,,5000,5000,10000,10000
PPK0001127,75,2500,,,10000,10000,,
PPK0001128,100,2500,,,10000,10000,,
PPK0001130,,2500,,,,,,
PPK0001131,,1000,,,,,,
PPK0001132,245,1000,,,5000,5000,10000,10000
PPK0001133,,1000,,,,,,
PPK0001134,,2500,,,,,,
PPK0001135,,2500,,,5000,5000,,10000
PPK0001136,,1000,,,,,,
PPK0001137,,2500,,,,,,
PPK0001138,325,1000,,,5000,5000,10000,10000
PPK0001139,245,1000,,,5000,5000,10000,10000
PPK0001140,245,1000,,,5000,5000,10000,10000
PPK0001141,248,1000,,,5000,5000,10000,10000
PPK0001142,,2500,,,,,,
PPK0001143,,1000,,,,,,
PPK0001144,245,1000,,,5000,5000,10000,10000
PPK0001145,,2500,,,,,,
PPK0001146,175,1000,,,5000,5000,,5000
PPK0001147,,1000,,,,,,
PPK0001148,125,1000,,,25000,25000,,
PPK0001149,,1000,,,,,,
PPK0001150,135,1000,,,5000,5000,5000,5000
PPK0001151,275,2500,,,10000,10000,10000,10000
PPK0001152,375,5000,,,15000,15000,15000,15000
PPK0001153,,1000,,,,,,
PPK0001154,,1000,,,,,,
PPK0001155,,1000,,,,,,
PPK0001156,,1000,,,,,,
PPK0001157,,2500,,,,,,
PPK0001158,150,2500,,,10000,10000,15000,
PPK0001160,,1000,,,,,,
PPK0001161,,1000,,,,,,
