policy.number,total
PPK0001000,
PPK0001001,
PPK0001002,100
PPK0001003,
PPK0001004,
PPK0001005,
PPK0001007,133
PPK0001008,
PPK0001009,
PPK0001010,
PPK0001011,
PPK0001012,100
PPK0001013,
PPK0001014,
PPK0001015,
PPK0001016,
PPK0001019,
PPK0001020,
PPK0001021,
PPK0001022,
PPK0001023,
PPK0001024,100
PPK0001026,
PPK0001027,100
PPK0001028,
PPK0001029,
PPK0001030,
PPK0001031,
PPK0001032,100
PPK0001033,
PPK0001034,
PPK0001035,
PPK0001036,100
PPK0001037,
PPK0001038,
PPK0001039,
PPK0001040,
PPK0001041,
PPK0001042,
PPK0001043,
PPK0001044,
PPK0001045,
PPK0001046,
PPK0001047,
PPK0001048,
PPK0001049,
PPK0001050,
PPK0001051,
PPK0001052,
PPK0001053,100
PPK0001054,
PPK0001055,
PPK0001056,
PPK0001057,
PPK0001058,
PPK0001059,
PPK0001060,
PPK0001061,
PPK0001062,
PPK0001063,
PPK0001064,
PPK0001065,
PPK0001068,
PPK0001070,100
PPK0001071,
PPK0001072,
PPK0001073,
PPK0001074,
PPK0001075,
PPK0001076,
PPK0001077,
PPK0001078,
PPK0001079,
PPK0001080,
PPK0001081,
PPK0001082,
PPK0001083,
PPK0001084,
PPK0001085,
PPK0001086,
PPK0001087,
PPK0001088,
PPK0001089,
PPK0001090,
PPK0001091,
PPK0001093,
PPK0001094,
PPK0001095,
PPK0001096,
PPK0001097,
PPK0001098,
PPK0001099,
PPK0001100,
PPK0001101,
PPK0001102,
PPK0001103,
PPK0001104,
PPK0001105,
PPK0001106,
PPK0001107,
PPK0001108,
PPK0001109,
PPK0001110,
PPK0001111,
PPK0001112,
PPK0001113,100
PPK0001114,
PPK0001115,
PPK0001116,
PPK0001117,
PPK0001118,
PPK0001119,
PPK0001120,
PPK0001121,
PPK0001122,
PPK0001123,
PPK0001124,
PPK0001125,
PPK0001126,
PPK0001127,
PPK0001128,
PPK0001130,
PPK0001131,
PPK0001132,
PPK0001133,
PPK0001134,100
PPK0001135,
PPK0001136,
PPK0001137,100
PPK0001138,
PPK0001139,
PPK0001140,
PPK0001141,
PPK0001142,
PPK0001143,
PPK0001144,
PPK0001145,
PPK0001146,125
PPK0001147,
PPK0001148,100
PPK0001149,
PPK0001150,
PPK0001151,
PPK0001152,
PPK0001153,
PPK0001154,
PPK0001155,
PPK0001156,
PPK0001157,
PPK0001158,
PPK0001160,
PPK0001161,
PPK0001162,
PPK0001163,
PPK0001164,
PPK0001165,100
PPK0001166,100
PPK0001167,
PPK0001168,
PPK0001169,
PPK0001170,100
PPK0001171,
PPK0001172,
PPK0001173,
PPK0001174,100
PPK0001175,
PPK0001176,
PPK0001177,
PPK0001178,
PPK0001179,
PPK0001180,
PPK0001181,
PPK0001182,
PPK0001183,
PPK0001184,
PPK0001185,
PPK0001186,100
PPK0001187,
PPK0001188,
PPK0001189,
PPK0001190,100
PPK0001191,
PPK0001192,
PPK0001193,
PPK0001194,
PPK0001195,
PPK0001196,200
PPK0001197,113
PPK0001198,
PPK0001199,
PPK0001200,
PPK0001201,100
PPK0001202,
PPK0001203,
PPK0001204,90
PPK0001205,100
PPK0001206,
PPK0001207,
PPK0001208,
PPK0001209,
PPK0001210,
PPK0001211,
PPK0001212,100
PPK0001213,
PPK0001214,
PPK0001215,
PPK0001216,
PPK0001217,
PPK0001218,89
PPK0001219,
PPK0001220,
PPK0001221,
PPK0001222,
PPK0001223,100
PPK0001224,
PPK0001225,
PPK0001226,
PPK0001227,
PPK0001228,
PPK0001229,
PPK0001230,
PPK0001231,
PPK0001232,100
PPK0001233,
PPK0001234,
PPK0001235,
PPK0001236,100
PPK0001237,
PPK0001238,
PPK0001239,
PPK0001240,
PPK0001241,
PPK0001242,
PPK0001243,
PPK0001244,
PPK0001245,
PPK0001246,
PPK0001247,100
PPK0001249,
PPK0001250,
PPK0001251,
PPK0001252,100
PPK0001253,
PPK0001254,
PPK0001255,
PPK0001256,
PPK0001257,
PPK0001258,
PPK0001259,
PPK0001260,
PPK0001261,
PPK0001262,
PPK0001263,100
PPK0001264,
PPK0001265,
PPK0001266,
PPK0001267,
PPK0001269,
PPK0001270,
PPK0001271,
PPK0001272,100
PPK0001273,
PPK0001274,
PPK0001275,
PPK0001278,
PPK0001279,
PPK0001280,
PPK0001281,
PPK0001282,
PPK0001283,
PPK0001284,
PPK0001285,100
PPK0001286,
PPK0001287,
PPK0001288,
PPK0001289,
PPK0001290,
PPK0001291,
PPK0001292,
PPK0001294,100
PPK0001295,
PPK0001296,
PPK0001297,
PPK0001298,
PPK0001299,
PPK0001300,
PPK0001301,
PPK0001302,
PPK0001303,
