ACTIO-1,Action GroupInc dba AG Ins Agy,191 North Avenue,Mt Clemens,MI,48043,dmcatee@actiongroup.net,Denise McAtee,586-868-2440
ALBOURD,"Al Bourdeau Insurance Svcs,Inc",3835 Davison Rd.,Flint,MI,48509-0419,pamv@albourdeauinsurance.com,,800-644-6030
AMERI-2,American Insurance Agency Grp,"6785 Telegraph Rd., Ste. 275",Bloomfield Hills,MI,48301,info.theaiagroup@gmail.com,Summer Consulting Group,248-747-7778
ANCHO-1,Anchor Insurance Group Inc.,1275 Peck Street,Muskegon,MI,49441,ruth@anchorins.net,Ruth Harwood,231-726-5081
ANNAR-1,"Ann Arbor Insurance Assoc.,Inc","1925 Pauline Blvd., Ste D",Ann Arbor,MI,48103,ronnie@annarbor-insurance.com,Ronnie Sosin,734-327-9222
ATBIN-1,ATB Insurance Agency,13747 W Warren Ave,Dearborn,MI,48126,atbinsurance@yahoo.com,Ali T Beydoun,313-584-9800
BENCI-1,Bencivenga Insurance,"31313 Northwestern Hwy,# 218",Farmington Hills,MI,48334,,Gian Bencivenga,248-644-9122
BROWN-5,"Brown-Pixley Insurance Agency,",5665 Okemos Road,East Lansing,MI,48823,ddripley@brownpixley.com,Attn: Doug Ripley,517-339-8277
CANTO-1,"Cantor Insurance Group, LLC",26777 Central Park Blvd #250,Southfield,MI,48076,kcantor@cantorinsurance.com,Kenneth Cantor,248-848-0200
CREAT-1,Creative Insurance Solutions,1111 N Old Woodward Ave.#1,Birmingham,MI,48009,kevans1creativeinsurance@gmail,Karry Evans,248-915-8375
CUSTO-1,Custom Insurance Agency,6300 22 Mile Rd.  STE 4,Shelby Township,MI,48317,dgiancola@custominsuranceagenc,Dave Giancola,586-935-6110
DDIIN-1,"DDI Insurance Agency, LLC",20227 Mack Ave.,Gross Pointe Farms,MI,48236,,Amy Doherty,313-402-5603
FAWAZ-1,Fawaz Insurance Agency Inc.,25649 Ford Road.,Dearborn Heights,MI,48127,ali@fawazagency.com,Ali Fawaz,313-769-5500
HADDA-1,Frank Haddad Insurance Agency,24350 W Warren Ave,Dearborn Heights,MI,48127,fhaddad@haddadins.com,Haddad insurance Corp,313-359-6666
GREAT-1,Great Lakes Ins Agency Assoc.,1773 W. Big Beaver Rd.,Troy,MI,48084,fdanno@greatlakesinsagency.com,Frank Danno,248-649-1700
HADIN-1,HAD Insurance Associates,"6320 Canoga Avenue, Suite 1500",Woodland Hills,CA,91367,confidential@gohad.net,Anhdy Nguyen,800-750-8888
HALLM-2,"Hallmark Agency, Inc.",11506 S. Saginaw St.,Grand Blanc,MI,48439,Hallmark@myGBIns.com,Rhonda Mulligan,810-695-0600
HALLM-1,Hallmark Associates Insurance,P.O. Box 4266,Riverside,CA,92514,,Carlos Delgado,951-509-0509
HARBO-1,Harbor Country Insurance Agy,11 N. Elm St.  PO Box 35,Three Oaks,MI,49128,hcinsurnace@csinet.net,Gregory Bubb,269-469-4438
INDEP-2,Independent Insurance Services,26100 American Drive #605,Southfield,MI,48034,shaddad@iisai.com,Souzan Haddad,248-352-3222
INSUR10,Insurance Advisors Inc.,8884 Commerce Road,Commerce Township,MI,48382-4413,jwalker@agencyadvisors.com,"Commercial Lines, John Walker",248-363-5746
INSUR-9,Insurance Providers of Michign,"5600 W. Maple Road, STE C-314",West Bloomfield,MI,48322,tdinsuranceproviders@gmail.com,Thomas DIckow,248-325-9469
JPSIN-1,JPS Insurance Agency LLC,"1111 West Long Lake Road, #201",Troy,MI,48098,jeanne.schatz@jpsagency.com,Jeanne Schatz,248-646-6657
KAPLA-1,"Kaplani Insurance Agency, Inc",2868 Fort Street,Lincoln Park,MI,48146,debkaplani@gmail.com,Deb Kaplani,313-383-7770
KEJBO-1,Kejbou Insurance Agency Inc.,74 W. Long Lake Rd. #203,Bloomfield Hills,MI,48304,kevin@kejbouinsurance.com,Kevin Kejbou,248-818-5515
LAKEP-1,"Lakepointe Ins. Agency, Inc.",25124 Jefferson Avenue,St Clair Shores,MI,48081,greg@lakepointeinsurance.com,Greg Mattes,586-776-6990
LINDA-2,Lind and Lind Insurance Agency,1060 W. Cedar Ave,Gladwin,MI,48624,kenlindinsurance@gmail.com,Kenneth Lind,989-426-9080
MACOM-1,"Macomb-Gerlach Agency, Inc.",P. O. Box 451,Mt. Clemens,MI,48046-0451,,,586-465-6171
METRO-1,Metro Financial Services LLC,1419 Maxfield Rd,Hartland,MI,48353,metrofinancialservicesllc@comc,,810-991-1840
MICHI-1,Michigan Insurance Group,"1373 E. Laketon Ave., STE A",Muskegon,MI,49442,don@michiganrisk.com,Donald Shampine,231-755-3000
MILLE-1,Millennium Insurance & Invest,"3272 E 12 Mile Road, STE 104",Warren,MI,48092,mark@startmyinsurance.com,Mark Eleas,586-751-2200
MORRI-2,Morris Insurance Group Inc,22440 Hall Road,Clinton Township,MI,48036,bruce@morrisinsurancegroup.com,DBA: Oakland General Underwrit,586-569-0440
MOURE-1,Mourer Foster Inc.,615 North Capitol Avenue,Lansing,MI,48933,jfoster@mourerfoster.com,John Foster,517-371-2300
OAKPO-1,OakPointe Insurance Agency Inc,43599 Schoenherr  STE 200A,Sterling Heights,MI,48731,mdenys101@comcast.net,Michael Denys,586-739-9389
POTTE-1,Potter & Roose Ins. Flint,P.O. Box 3008,Flint,MI,48502,jpotter_pottroose@ameritech.ne,John Potter,810-767-8590
PRIMA-1,Primary Insurance Agency,2071 E. 15 Mile Rd.,Sterling Heights,MI,48310,,,586-979-1755
RYEAG-1,"Rye Agency, Inc.",166 South Third St.,Rogers City,MI,49779,,,989-734-2347
SHEAR-1,"Shears II Insurance Agcy, Inc.","16250 Northland Dr., Ste 365",Southfield,MI,48075,ray@shears2.com,Raymond Booth,248-395-6315
SHOEM-1,Shoemaker Group Inc,2595 E. Round Lake Road,Dewitt,MI,48820,commercial@shoemakergroup.net,Drew Shoemaker,517-669-1189
SIGNA-1,Signature Insurance,32888 Ryan Rd.,Warren,MI,48092,commercial.signatureins@gmail.,,586-274-9600
STUGA-1,"Stu Garthe Agency, LLC",2771 Bronson Blvd.,Kalamazoo,MI,49008,stu@biz-insurance.com,Stu Garthe,269-343-4570
CONRA-1,"T.A. Conrad Agency, Inc.",8518 Canton Center Rd.,Canton,MI,48187,Carolyn.Conrad@tds.net,Gerald Stephans,734-416-8280
TABAK-1,Tabak Insurance Agency PLLC,3119 Broadmoor Dr.,Sugar Land,TX,77478,robert@tabakinsurance.com,Robert Tabak,248-275-5204
TAITI-1,"Tait Insurance Agency, Inc.","407 Fort Street, Suite B",Port Huron,MI,48060,kschott@taitagency.com,,810-989-9710
UPPER-1,Upper Penisula Ins. Agency Inc,100 S. Carpenter Avenue,Kingsford,MI,49802,anita@up-ins.com,,906-774-8500
VIKIN-1,Viking Insurance Agency,4209 Sashabaw Road,Waterford,MI,48329,waltersvenkesen@yahoo.com,Walter Svenkesen,248-674-2271
WALKE-2,Walker Group,25901 W. 10 Mile Rd. #224,Southfield,MI,49304,walkergrp3@aol.com,,248-355-3820
