policy.number,number,class,code,basis,basis_type
PPK0001000,1,Restaurant,16941,2612244,Sales
PPK0001001,1,Restaurant,16814,550000,Sales
PPK0001002,1,Grocery,13673,1039746,Sales
PPK0001003,1,Grocery,13673,450000,Sales
PPK0001004,1,Grocery,13673,1100000,Sales
PPK0001005,1,Restaurant,16900,180000,Sales
PPK0001007,1,,,1300000,
PPK0001008,1,Grocery,13673,360000,Sales
PPK0001009,1,Restaurant,16900,350000,Sales
PPK0001010,1,Restaurant,16916,305000,Sales
PPK0001011,1,Building or Premises (LRO),61212,20000,Area
PPK0001012,1,Gas Station,13673,460000,Gallons
PPK0001013,1,Restaurant,16900,275000,Sales
PPK0001014,1,Grocery,13673,1800000,Sales
PPK0001015,1,Grocery,13673,720000,Sales
PPK0001016,1,Grocery,13673,500000,Sales
PPK0001019,1,Restaurant,16910,798000,Sales
PPK0001020,1,Grocery,13673,400000,Sales
PPK0001021,1,Grocery,13673,859000,Sales
PPK0001022,1,Restaurant,16900,360000,Sales
PPK0001023,1,Grocery,13673,500000,Sales
PPK0001024,1,Restaurant,16910,770000,Sales
PPK0001026,1,Restaurant,16901,700000,Sales
PPK0001027,1,Grocery,13673,1200000,Sales
PPK0001028,1,Grocery,13673,360000,Sales
PPK0001029,1,Restaurant,16900,360000,Sales
PPK0001030,1,Grocery,13673,600000,Sales
PPK0001031,1,Grocery Store,13673,150000,Sales
PPK0001032,1,Grocery Store,13673,625831,Sales
PPK0001033,1,Grocery,13673,200000,Sales
PPK0001034,1,Restaurant,16930,160000,Sales
PPK0001035,1,Restaurant,16910,440000,Sales
PPK0001036,1,Restaurant,16910,273207,Sales
PPK0001037,1,Grocery,13673,400000,Sales
PPK0001038,1,Restaurant,16931,150000,Sales
PPK0001039,1,Grocery,13673,600000,Sales
PPK0001040,1,Restaurant,16900,300000,Sales
PPK0001041,1,Restaurant,16910,800000,Sales
PPK0001042,1,Grocery,13673,1400000,Sales
PPK0001043,1,Grocery Store,13673,360000,Sales
PPK0001044,1,Grocery,13673,800000,Sales
PPK0001045,1,Grocery,13673,500000,Sales
PPK0001046,1,Grocery,13673,950000,Sales
PPK0001047,1,Grocery,13673,730000,Sales
PPK0001048,1,Grocery,13673,720000,Sales
PPK0001049,1,Grocery Stores,13673,350000,Sales
PPK0001050,1,Grocery,13673,350000,Sales
PPK0001051,1,Grocery,13673,500000,Sales
PPK0001052,1,Restaurant,16940,135000,Sales
PPK0001053,1,Grocery,13673,654000,Sales
PPK0001054,1,Restaurant,16916,710000,Sales
PPK0001055,1,Grocery,13673,600000,Sales
PPK0001056,1,Restaurant,16916,1559000,Sales
PPK0001057,1,Building or Premises LRO,61212,3000,Area
PPK0001058,1,Restaurant,16900,250000,Sales
PPK0001059,1,Restaurant,16900,240000,Sales
PPK0001060,1,Grocery,13673,1000000,Sales
PPK0001061,1,Building or Premises,16212,7100,Area
PPK0001062,1,Restaurant,16900,120000,Sales
PPK0001063,1,Grocery,13673,720000,Sales
PPK0001064,1,Grocery,13673,375000,Sales
PPK0001065,1,Restaurant,16900,300000,Sales
PPK0001068,1,Restaurant,16900,120000,Sales
PPK0001070,1,Restaurant,16916,274000,Sales
PPK0001071,1,Grocery,13673,550000,Sales
PPK0001072,1,Grocery,13673,1000000,Sales
PPK0001073,1,Grocery,13673,400000,Sales
PPK0001074,1,Restaurant,16900,100000,Sales
PPK0001075,1,Grocery Sales,13673,600000,Sales
PPK0001076,1,Restaurant,16911,285000,Sales
PPK0001077,1,Restaurant,16920,125000,Sales
PPK0001078,1,Grocery,13763,400000,Sales
PPK0001079,1,Grocery,13673,400000,Sales
PPK0001080,1,Grocery,13673,325000,Sales
PPK0001081,1,Grocery,13673,350000,Sales
PPK0001082,1,Grocery,13673,1050000,Sales
PPK0001083,1,Restaurant,16910,1400000,Sales
PPK0001084,1,Grocery,13673,1000000,Sales
PPK0001085,1,Grocery,13763,740000,Sales
PPK0001086,1,Restaurant,16900,300000,Sales
PPK0001087,1,Grocery,13673,1000000,Sales
PPK0001088,1,Restaurant,16916,112000,Sales
PPK0001089,1,Restaurant,16941,60000,Sales
PPK0001090,1,Grocery,13673,500000,Sales
PPK0001091,1,Grocery,13673,365000,Sales
PPK0001093,1,Grocery,13673,500000,Sales
PPK0001094,1,Restaurant,16900,200000,Sales
PPK0001095,1,Restaurant,16900,150000,Sales
PPK0001096,1,Grocery,13673,365000,Sales
PPK0001097,1,Restaurant,16900,150000,Sales
PPK0001098,1,Grocery,13673,1500000,Sales
PPK0001099,1,Grocery,13673,300000,Sales
PPK0001100,1,Restaurant,16900,250000,Sales
PPK0001101,1,Restaurant,16915,275000,Sales
PPK0001102,1,Restaurant,16900,300000,Sales
PPK0001103,1,Building or Premises LRO,16212,4800,Area
PPK0001104,1,Building or Premises LRO,61212,1850,Area
PPK0001105,1,Restaurant,16930,108000,Sales
PPK0001106,1,Grocery,13763,400000,Sales
PPK0001107,1,Grocery,13673,800000,Sales
PPK0001108,1,Grocery,13673,300000,Sales
PPK0001109,1,Restaurant,16915,242000,Sales
PPK0001110,1,Restaurant,16916,720000,Sales
PPK0001111,1,Grocery,13763,750000,Sales
PPK0001112,1,Building or Premises LRO,61212,8000,Area
PPK0001113,1,Grocery,13673,1530000,Sales
PPK0001114,1,Grocery,13673,1000000,Sales
PPK0001115,1,Grocery,13673,980000,Sales
PPK0001116,1,Grocery,13673,1603000,Sales
PPK0001117,1,Grocery,13673,550000,Sales
PPK0001118,1,Grocery,13673,1000000,Sales
PPK0001119,1,Grocery,13763,500000,Sales
PPK0001120,1,Gasoline,13545,660000,Gallons
PPK0001121,1,Grocery,13763,1200000,Sales
PPK0001122,1,Grocery,13763,750000,Sales
PPK0001123,1,Grocery,13763,840000,Sales
PPK0001124,1,Grocery,13763,375000,Sales
PPK0001125,1,Restaurant,16941,98000,Sales
PPK0001126,1,Grocery,13673,450000,Sales
PPK0001127,1,Grocery,13673,400000,Sales
PPK0001128,1,Grocery,13673,100000,Sales
PPK0001130,1,Grocery,13763,550000,Sales
PPK0001131,1,Restaurant,16915,300000,Sales
PPK0001132,1,Grocery,13763,900000,Sales
PPK0001133,1,Restaurant,16920,275000,Sales
PPK0001134,1,Restaurant,16920,400000,Sales
PPK0001135,1,Restaurant,16900,550000,Sales
PPK0001136,1,Building or Premises LRO,61212,1600,Area
PPK0001137,1,Restaurant,16915,1000000,Sales
PPK0001138,1,Grocery,13673,500000,Sales
PPK0001139,1,Restaurant,16900,750000,Sales
PPK0001140,1,Grocery,13763,440000,Sales
PPK0001141,1,Convenience Store,13673,600000,Sales
PPK0001142,1,Grocery,13763,300000,Sales
