policy.number,policy.code,recognizablename,policy.effective
PPK0001000,TRAFF-1,"Traffic Jam & Snug of Michigan, Inc.",2/1/2015
PPK0001001,LEGEN-1,Legends Coney Island,2/2/2015
PPK0001002,SPRIN-2,Springwells Liquor,2/4/2015
PPK0001003,MOTOR-2,Motor City Truck Plaza,2/4/2015
PPK0001004,VSOPL-1,VSOP Liquor,2/7/2015
PPK0001005,OLYMP-3,Olympic Grill of Wayne State,2/11/2015
PPK0001006,BONGO-1,"Bongo's / Hunt & Grunt, LLC",2/1/2015
PPK0001007,BAR15-1,"Doa Doa, Inc., dba:  Bar 153",2/6/2015
PPK0001008,FLEXF-1,Flex Fuel,2/12/2015
PPK0001009,LAKEC-1,Lake City Family Diner,2/10/2015
PPK0001010,TIPSY-1,Tipsy Toad,2/9/2015
PPK0001011,DABAF-1,Dabaja Properties Management LLC,2/5/2015
PPK0001012,I75PE-1,I75 Petroleum,2/5/2015
PPK0001013,DANSC-1,Dan's Coney Island,2/5/2015
PPK0001014,BUYO-1,Buy Now Gas & Oil,2/11/2015
PPK0001015,SYFUE-1,Sy Fuel,2/10/2015
PPK0001016,M&FSE-1,M&F Service,2/11/2015
PPK0001017,NISRI-1,Nisrine Mini Mart,2/10/2015
PPK0001018,GREEN-6,"Green Dot Stables, JCD Detroit ",2/12/2015
PPK0001019,ZACKS-1,Zack's Restaurant,2/10/2015
PPK0001020,YEMEN-1,Yemen Fuels Inc.,2/11/2015
PPK0001021,KADAD-1,Square One Party Store / Kadadui Food Stores,2/11/2015
PPK0001022,DEARB-1,Dearborn Pizza,2/18/2015
PPK0001023,S&REN-1,S&R Enterprises,2/17/2015
PPK0001024,AUGGI-1,Auggie's Smokehouse,2/12/2015
PPK0001025,ALKAT-1,"Alkathi, Inc.",2/18/2015
PPK0001026,DUNKI-1,Severnty Five LLC / Dunkin Donuts,2/12/2015
PPK0001027,SUNOC-1,Sibley 75 LLC / Sunoco Plaza,2/15/2015
PPK0001028,FENKE-1,"Fenkell Gas Mart, Inc.",2/18/2015
PPK0001029,NEWYO-1,New York red Hots Coney Island,2/17/2015
PPK0001030,WYOMI-1,Wyoming Oil & Gas,2/21/2015
PPK0001031,MLKMA-1,MLK Market,2/21/2015
PPK0001032,BLISS-2,Blissfield Market,2/9/2015
PPK0001033,WAWAV-1,WaWa Fill Up,2/18/2015
PPK0001034,MADIS-1,Madison Club Bar,2/18/2015
PPK0001035,POLON-1,Polonia Restaurant,2/22/2015
PPK0001036,3STAR-1,3 Star BBQ,2/22/2015
PPK0001037,LINWO-1,Linwood Service Inc.,2/21/2015
PPK0001038,EASTS-1,East Side Tavern,2/24/2015
PPK0001039,L&APE-1,L&A Petro Inc.,2/23/2015
PPK0001040,NONIS-1,Noni's Grill,2/19/2015
PPK0001041,CASSR-1,Cass Restaurant,2/20/2015
PPK0001042,CAESA-1,Ceasars Liquor Store,2/24/2015
PPK0001043,MIMAS-1,Mimas,2/24/2015
PPK0001044,CANTO-2,"Canton City Market, Inc.",2/28/2015
PPK0001045,B&BWO-1,B&B Woodward Marathon,2/24/2015
PPK0001046,KCLIQ-1,KC Liquor,2/23/2015
PPK0001047,CLUBM-1,Club Marathon,2/26/2015
PPK0001048,i94de-1,I94 Petroleum,2/28/2015
PPK0001049,LASHE-2,Lasher Fuel,2/24/2015
PPK0001050,7MILE-1,7 Mile Fuel Mart Inc.,2/24/2015
PPK0001051,GROES-3,Groesbeck Enterprises,2/17/2015
PPK0001052,OBRAD-1,O'Brady Inc.,3/1/2015
PPK0001053,SEVEN-1,Seven Lakes Party Stores,3/1/2015
PPK0001054,SUGAR-4,Sugar House,3/1/2015
PPK0001055,ASILP-1,Asil Petro,3/1/2015
PPK0001056,DOOLE-3,Dooley's Tavern,2/28/2015
PPK0001057,JIMSP-1,Jim's Properties,2/28/2015
PPK0001058,DELUS-3,Deluxe Coney Island,3/1/2015
PPK0001059,LULAS-1,Lula's Nevada Coney Island,3/1/2015
PPK0001060,PARTY-1,Party Hut / Marei Market Inc.,3/1/2015
PPK0001061,SALAH-1,Salah Awada,2/28/2015
PPK0001062,ALDOS-1,Aldo's Coney Island,3/2/2015
PPK0001063,ABEER-1,Abeer Fuel,2/27/2015
PPK0001064,NASIF-1,Nassif Petro,2/28/2015
PPK0001065,TOMSC-1,Tom's Coney Island,3/2/2015
PPK0001066,JAMLI-1,Jam Lin,3/2/2015
PPK0001067,AWADS-1,Awad Superior LLC,3/2/2015
PPK0001068,ALSCO-1,Al's Coney Island,3/2/2015
PPK0001069,D&HPE-1,D&H Petroleum,3/3/2015
PPK0001070,SOUTH11,Southside Bar & Grill,3/3/2015
PPK0001071,SANMI-1,San Mini Mart,3/5/2015
PPK0001072,HAPPY-5,Happy Four,3/6/2015
PPK0001073,MBOIL-2,MB Oil,3/6/2015
PPK0001074,BIGNI-1,Big Nick's Coney Island,3/5/2015
