policy.number,total,ded,limit_theft,limit_forgery,limit_money,limit_outside_robbery,limit_safe_burglary,limit_premises_burglary
PPK0001000,,,,,,,,
PPK0001001,,,,,,,,
PPK0001002,,,,,,,,
PPK0001003,300,1000,,,5000,5000,10000,10000
PPK0001004,,,,,,,,
PPK0001005,,,,,,,,
PPK0001007,238,2500,,,5000,5000,,
PPK0001008,,,,,,,,
PPK0001009,295,1000,,10000,10000,10000,10000,10000
PPK0001010,,1000,,,2500,2500,,
PPK0001011,,,,,,,,
PPK0001012,95,2500,,,5000,5000,,
PPK0001013,,,,,,,,
PPK0001014,290,1000,,,5000,5000,10000,
PPK0001015,229,1000,,,5000,5000,10000,10000
PPK0001016,114,1000,,,5000,5000,,
PPK0001019,,,,,,,,
PPK0001020,,,,,,,,
PPK0001021,,,,,,,,
PPK0001022,,,,,,,,
PPK0001023,305,1000,,,10000,10000,10000,10000
PPK0001024,,,,,,,,
PPK0001026,,,,,,,,
PPK0001027,440,1000,10000,,10000,10000,10000,10000
PPK0001028,,,,,,,,
PPK0001029,,,,,,,,
PPK0001030,392,1000,,,10000,10000,10000,10000
PPK0001031,,,,,,,,
PPK0001032,,,,,,,,
PPK0001033,275,1000,,,10000,10000,10000,10000
PPK0001034,,,,,,,,
PPK0001035,,,,,,,,
PPK0001036,,,,,,,,
PPK0001037,,,,,,,,
PPK0001038,,,,,,,,
PPK0001039,400,1000,,,10000,10000,10000,10000
PPK0001040,,,,,,,,
PPK0001041,,,,,,,,
PPK0001042,,,,,,,,
PPK0001043,,,,,,,,
PPK0001044,211,2500,,,10000,10000,,5000
PPK0001045,275,1000,,,10000,10000,10000,10000
PPK0001046,350,1000,,,5000,5000,10000,10000
PPK0001047,275,1000,,,10000,10000,10000,10000
PPK0001048,325,1000,,,10000,10000,10000,10000
PPK0001049,,,,,,,,
PPK0001050,,,,,,,,
PPK0001051,356,1000,,,10000,10000,10000,10000
PPK0001052,,,,,,,,
PPK0001053,169,1000,5000,,10000,10000,,
PPK0001054,,,,,,,,
PPK0001055,360,1000,,,10000,10000,10000,10000
PPK0001056,,,,,,,,
PPK0001057,,,,,,,,
PPK0001058,,,,,,,,
PPK0001059,,,,,,,,
PPK0001060,,,,,,,,
PPK0001061,,,,,,,,
PPK0001062,,,,,,,,
PPK0001063,275,1000,,,10000,10000,10000,10000
PPK0001064,315,2500,,,20000,20000,10000,10000
PPK0001065,,,,,,,,
PPK0001068,,,,,,,,
PPK0001070,,,,,,,,
PPK0001071,325,1000,,,5000,5000,10000,10000
PPK0001072,390,1000,,,5000,5000,10000,10000
PPK0001073,75,1000,,,10000,10000,,
PPK0001074,,,,,,,,
PPK0001075,,,,,,,,
PPK0001076,,,,,,,,
PPK0001077,,1000,,,5000,5000,,
PPK0001078,,,,,,,,
PPK0001079,75,1000,,,10000,10000,,
PPK0001080,315,1000,,,20000,20000,10000,10000
PPK0001081,75,2500,,,10000,10000,,
PPK0001082,,1000,,,10000,10000,10000,10000
PPK0001083,275,2500,,,10000,10000,10000,10000
PPK0001084,275,1000,,,10000,10000,10000,10000
PPK0001085,,,,,,,,
PPK0001086,,,,,,,,
PPK0001087,,,,,,,,
PPK0001088,,,,,,,,
PPK0001089,,,,,,,,
PPK0001090,75,2500,,,10000,10000,,
PPK0001091,270,1000,,,5000,5000,10000,10000
PPK0001093,,,,,,,,
PPK0001094,,,,,,,,
PPK0001095,,,,,,,,
PPK0001096,245,1000,,,5000,5000,10000,10000
PPK0001097,,,,,,,,
PPK0001098,295,1000,,,5000,5000,10000,10000
PPK0001099,270,1000,,,5000,5000,10000,10000
PPK0001100,,,,,,,,
PPK0001101,,,,,,,,
PPK0001102,383,1000,,,10000,10000,,25000
PPK0001103,,,,,,,,
PPK0001104,,,,,,,,
PPK0001105,,,,,,,,
PPK0001106,245,2500,,,5000,5000,10000,10000
PPK0001107,250,1000,,,10000,10000,10000,10000
PPK0001108,360,1000,,,10000,10000,10000,10000
PPK0001109,,,,,,,,
PPK0001110,45,1000,,,5000,5000,,
PPK0001111,245,1000,,,5000,5000,10000,10000
PPK0001112,,,,,,,,
PPK0001113,135,1000,25000,,,,,
PPK0001114,,2500,,,10000,10000,,
PPK0001115,75,2500,,,10000,10000,,
PPK0001116,75,2500,,,10000,10000,,
PPK0001117,233,1000,,,5000,5000,10000,10000
PPK0001118,,,,,,,,
PPK0001119,245,1000,,,5000,5000,10000,10000
PPK0001120,,,,,,,,
PPK0001121,,,,,,,,
PPK0001122,,,,,,,,
PPK0001123,245,1000,,,5000,5000,10000,10000
PPK0001124,250,1000,,,10000,10000,10000,10000
PPK0001125,,,,,,,,
PPK0001126,325,5000,,,5000,5000,10000,10000
PPK0001127,75,2500,,,10000,10000,,
PPK0001128,100,2500,,,10000,10000,,
PPK0001130,,,,,,,,
PPK0001131,,,,,,,,
PPK0001132,245,1000,,,5000,5000,10000,10000
PPK0001133,,,,,,,,
PPK0001134,,,,,,,,
PPK0001135,,2500,,,5000,5000,,10000
PPK0001136,,,,,,,,
PPK0001137,,,,,,,,
PPK0001138,325,1000,,,5000,5000,10000,10000
PPK0001139,245,1000,,,5000,5000,10000,10000
PPK0001140,245,1000,,,5000,5000,10000,10000
PPK0001141,248,1000,,,5000,5000,10000,10000
PPK0001142,,,,,,,,
PPK0001143,,,,,,,,
PPK0001144,245,1000,,,5000,5000,10000,10000
PPK0001145,,,,,,,,
PPK0001146,175,1000,,,5000,5000,,5000
PPK0001147,,,,,,,,
PPK0001148,125,1000,,,25000,25000,,
PPK0001149,,,,,,,,
PPK0001150,135,1000,,,5000,5000,5000,5000
PPK0001151,275,2500,,,10000,10000,10000,10000
PPK0001152,375,5000,,,15000,15000,15000,15000
PPK0001153,,,,,,,,
PPK0001154,,,,,,,,
PPK0001155,,,,,,,,
PPK0001156,,,,,,,,
PPK0001157,,,,,,,,
PPK0001158,150,2500,,,10000,10000,15000,
PPK0001160,,,,,,,,
PPK0001161,,,,,,,,
PPK0001162,245,1000,,,5000,5000,10000,10000
PPK0001163,,,,,,,,
PPK0001164,245,1000,,,5000,5000,10000,10000
PPK0001165,,,,,,,,
PPK0001166,,,,,,,,
PPK0001167,,,,,,,,
PPK0001168,,,,,,,,
PPK0001169,245,1000,,,5000,5000,10000,10000
PPK0001170,245,2500,,,5000,5000,5000,5000
PPK0001171,,,,,,,,
PPK0001172,,,,,,,,
PPK0001173,,,,,,,,
PPK0001174,275,1000,,,10000,10000,10000,10000
PPK0001175,,,,,,,,
PPK0001176,120,2500,,,5000,5000,,5000
PPK0001177,245,1000,,,5000,5000,10000,10000
PPK0001178,245,1000,,,5000,5000,10000,10000
PPK0001179,245,1000,,,5000,5000,10000,10000
PPK0001180,,,,,,,,
PPK0001181,,1000,,,5000,5000,10000,10000
PPK0001182,,,,,,,,
PPK0001183,245,2500,,,5000,5000,10000,10000
PPK0001184,,,,,,,,
PPK0001185,,1000,,,5000,5000,10000,10000
PPK0001186,,,,,,,,
PPK0001187,,,,,,,,
PPK0001188,,,,,,,,
PPK0001189,75,2500,,,10000,10000,,
PPK0001190,95,1000,5000,,5000,5000,,
PPK0001191,325,1000,,,5000,5000,10000,10000
PPK0001192,75,1000,,,10000,10000,,
PPK0001193,75,1000,,,10000,10000,,
PPK0001194,,,,,,,,
PPK0001195,245,2500,,,5000,5000,10000,10000
PPK0001196,,,,,,,,
PPK0001197,120,1000,,,10000,10000,10000,
PPK0001198,233,1000,,,5000,5000,10000,10000
PPK0001199,,,,,,,,
PPK0001200,,,,,,,,
PPK0001201,231,1000,,,5000,5000,5000,5000
PPK0001202,,,,,,,,
PPK0001203,,,,,,,,
PPK0001204,250,1000,,,,,10000,10000
PPK0001205,245,1000,,,10000,10000,10000,10000
PPK0001206,,,,,,,,
PPK0001207,,,,,,,,
PPK0001208,,,,,,,,
PPK0001209,,,,,,,,
PPK0001210,,2500,,,10000,10000,,
PPK0001211,,,,,,,,
PPK0001212,75,2500,,,10000,10000,,
PPK0001213,245,1000,,,5000,5000,10000,10000
PPK0001214,245,1000,,,5000,5000,10000,10000
PPK0001215,,,,,,,,
PPK0001216,,,,,,,,
PPK0001217,198,1000,,,5000,5000,5000,5000
PPK0001218,,,,,,,,
PPK0001219,375,1000,,,15000,15000,15000,15000
PPK0001220,,,,,,,,
PPK0001221,,,,,,,,
PPK0001222,245,1000,,,5000,5000,10000,10000
PPK0001223,,,,,,,,
PPK0001224,,,,,,,,
PPK0001225,,,,,,,,
PPK0001226,,,,,,,,
PPK0001227,245,1000,,,5000,5000,10000,10000
PPK0001228,,2500,,,10000,10000,15000,25000
PPK0001229,,1000,,,10000,10000,,
PPK0001230,,,,,,,,
PPK0001231,,,,,,,,
PPK0001232,,1000,,,10000,10000,,
PPK0001233,75,1000,,,10000,10000,,
PPK0001234,,,,,,,,
PPK0001235,,,,,,,,
PPK0001236,525,1000,,,25000,25000,10000,25000
PPK0001237,75,2500,,,10000,10000,,
PPK0001238,245,2500,,,5000,5000,10000,10000
PPK0001239,,,,,,,,
PPK0001240,245,1000,,,5000,5000,10000,10000
PPK0001241,,,,,,,,
PPK0001242,,,,,,,,
PPK0001243,245,1000,,,5000,5000,10000,10000
PPK0001244,,,,,,,,
PPK0001245,,,,,,,,
PPK0001246,344,2500,,,10000,10000,10000,10000
PPK0001247,75,1000,,,10000,10000,,
PPK0001249,,,,,,,,
PPK0001250,245,1000,,,5000,5000,10000,10000
PPK0001251,245,1000,,,5000,5000,10000,10000
PPK0001252,,,,,,,,
PPK0001253,,,,,,,,
PPK0001254,245,2500,,,5000,5000,10000,10000
PPK0001255,330,2500,,,10000,10000,10000,10000
PPK0001256,245,2500,,,5000,5000,10000,10000
PPK0001257,303,2500,,,10000,10000,10000,10000
PPK0001258,,,,,,,,
PPK0001259,,,,,,,,
PPK0001260,344,1000,,,10000,10000,10000,10000
PPK0001261,,,,,,,,
PPK0001262,406,1000,,,5000,5000,10000,10000
PPK0001263,275,1000,,,10000,10000,10000,10000
PPK0001264,,,,,,,,
PPK0001265,300,1000,,,10000,10000,10000,10000
PPK0001266,,,,,,,,
PPK0001267,306,1000,,,5000,5000,10000,10000
PPK0001269,245,1000,,,5000,5000,10000,10000
PPK0001270,,,,,,,,
PPK0001271,282,1000,,,5000,5000,10000,10000
PPK0001272,,,,,,,,
PPK0001273,,,,,,,,
PPK0001274,245,1000,,,5000,5000,10000,10000
PPK0001275,,,,,,,,
PPK0001278,245,2500,,,5000,5000,10000,10000
PPK0001279,,,,,,,,
PPK0001280,75,1000,,,10000,10000,,
PPK0001281,,,,,,,,
PPK0001282,,,,,,,,
PPK0001283,325,1000,,,15000,15000,15000,10000
PPK0001284,208,1000,,,5000,5000,10000,10000
PPK0001285,,,,,,,,
PPK0001286,324,1000,,,10000,10000,10000,10000
PPK0001287,,,,,,,,
PPK0001288,,,,,,,,
PPK0001289,,,,,,,,
PPK0001290,245,1000,,,5000,5000,10000,10000
PPK0001291,,,,,,,,
PPK0001292,45,1000,,,5000,5000,,
PPK0001294,275,1000,,,10000,10000,10000,10000
PPK0001295,245,1000,,,5000,5000,10000,10000
PPK0001296,,,,,,,,
PPK0001297,306,1000,,,5000,5000,10000,10000
PPK0001298,308,1000,,,5000,5000,10000,10000
PPK0001299,,,,,,,,
PPK0001300,,,,,,,,
PPK0001301,275,1000,,,10000,10000,10000,10000
PPK0001302,75,1000,,,10000,10000,,
PPK0001303,275,1000,,,10000,10000,10000,10000
