number,code,effective,expiry,broker,name,organization,dba,biztype,street,city,state,zip,total_premium
PPK0001000,TRAFF-1,2/1/15,2/1/16,LAKEP-1,Jam-Lin Inc.,Corporation,Traffic Jam & Snug of Michigan,Bar/Tavern,27462 Roney,Brownstown,MI,48183,2662
PPK0001001,LEGEN-1,2/2/15,2/2/16,PRIMA-1,"Pop & Tereza, Inc.",Corporation,Legends Coney Island,,5805 Mt. Elliot,Detroit,MI,48211,12368
PPK0001002,SPRIN-2,2/4/15,2/4/16,MORRI-2,"Sharrak Investments, Inc.",Corporation,Springwells Liquor,Liquor Store,1848 Springwells St,Detroit,MI,48209,7798
PPK0001003,MOTOR-2,2/4/15,2/4/16,FAWAZ-1,"Motor City Truck Plaza, LLC",LLC,Motor City Truck Plaza,Service Station with C Store,377 Schaefer Hwy,Detroit,MI,48217,8547
PPK0001004,VSOPL-1,2/7/15,2/7/16,GREAT-1,"Aiden, Inc. ",Corporation,VSOP Liquor,Liquor Store,10715 W. Eight Mile Rd,Detroit,MI,48221,6341
PPK0001005,OLYMP-3,2/11/15,2/11/16,PRIMA-1,"Olympic Grill, Inc.",Corporation,Olympic Grill of Wayne State,Restaurant,119 W. Warren Ave.,Detroit,MI,48201,2544
PPK0001007,BAR15-1,2/6/15,2/6/16,INSUR-9,"Doa Doa, Inc.",Corporation,Bar 153,Restaurant,31268 Ford Rd,Garden City,MI,48135,11425
PPK0001008,FLEXF-1,2/12/15,2/12/16,ATBIN-1,"Flex Fuel, LLC",LLC,Flex Fuel,Service Station with C Store,3801 E. Davidson,Detroit,MI,48212,3138
PPK0001009,LAKEC-1,2/10/15,2/10/16,LINDA-2,Lake City Family Diner,,Lake City Family Diner,Restaurant,119 North Main St.,Lake City,MI,49651,5285
PPK0001010,TIPSY-1,2/9/15,2/9/16,ANCHO-1,"Tipsy Toad, Inc.",Corporation,Tipsy Toad Tavern,Tavern,609 West Western Ave,Muskegon,MI,49440,4619
PPK0001011,DABAF-1,2/5/15,2/5/16,ATBIN-1,"Dabaja Properties Management, LLC",LLC,,Shopping Mall,8351 N. Wayne Rd,Westland,MI,48185,4545
PPK0001012,I75PE-1,2/5/15,2/5/16,ATBIN-1,I 75 PETRO,,,24 HOUR GAS STATION /CSTORE,800 E. 7 MILE RD.,DETROIT,MI,48203,3316
PPK0001013,DANSC-1,2/5/15,2/5/16,OAKPO-1,"Dans Coney Island, LLC",LLC,Dans Coney Island,Restaurant,5600 S. Pennsylvania Ave,Lansing,MI,48911,2507
PPK0001014,BUYO-1,2/11/15,2/11/16,FAWAZ-1,Buy Now Gas & Oil Inc.,Corporation,Buy Now Gas & Oil,Service Station with C Store,100 N.  Telegraph,Dearborn,MI,48127,7650
PPK0001015,SYFUE-1,2/10/15,2/10/16,FAWAZ-1,"Sy Fuel, Inc. ",Corporation,Sy Fuel,Gas Station with C Store (24 Hours),27360 Grand River Blvd.,Redford,MI,48240,4095
PPK0001016,M&FSE-1,2/11/15,2/11/16,FAWAZ-1,"M&F Service, Inc.",Corporation,M&F Service,Gas Station with C Store (24 Hours),13141 W. 7 Mile Rd,Detroit,MI,48235,4351
PPK0001019,ZACKS-1,2/10/15,2/10/16,KAPLA-1,"Plymouth Hospitality, LTD",Corporation,Zack's,Restaurant (24 hours),9468 S. Main Street,Plymouth,MI,48170,9174
PPK0001020,YEMEN-1,2/11/15,2/11/16,ATBIN-1,Yemen Fuel,,,Service Station,13001 W. 8 Mile Rd,Detroit,MI,48235,3624
PPK0001021,KADAD-1,2/11/15,2/11/16,POTTE-1,"Kadado Food Store No. 2, Inc.",Corporation,Square One Party Store,Grocery Store with Liquor Sales,2008 W. Coldwater Road,Flint,MI,48505,4619
PPK0001022,DEARB-1,2/18/15,2/18/16,ATBIN-1,"Dearborn Pizza, Inc.",Corporation,Dearborn Pizza,Restaurant,14422 W. Warren Ave.,Dearborn,MI,48126,2182
PPK0001023,S&REN-1,2/17/15,2/17/16,ATBIN-1,"S & R Enterprise Service, Inc",Corporation,S&R Enterprises,Service Station with C Store,15500 Southfield Rd,Allen Park,MI,48101,3586
PPK0001024,AUGGI-1,2/12/15,2/12/16,MORRI-2,KAF Ram's Horn of Macomb LLC,LLC,Auggie's Smokehouse,Restaurant w/ less than 10% alcohol,22000 23 Mile Rd.,Macomb,MI,48042,3892
PPK0001026,DUNKI-1,2/12/15,2/12/16,AMERI-2,Seventy Five LLC,LLC,Dunkin Donuts,Restaurant,21980 Sibley,Brownstown,MI,48183,3813
PPK0001027,SUNOC-1,2/15/15,2/15/16,AMERI-2,"Sibley 75, LLC and Pacific, Inc.",Corporation,Sunoco Plaza,Service Station with C Store,21980 Sibley Rd,Brownstown,MI,48192,8470
PPK0001028,FENKE-1,2/18/15,2/18/16,ATBIN-1,"Fenkell Gas Mart, Inc.",Corporation,,Service Station with C Store,1550 Fenkill,Detroit,MI,48227,5199
PPK0001029,NEWYO-1,2/17/15,2/17/16,OAKPO-1,New York Red Hots Cafe Inc,Corporation,New York Red Hots Coney Island,Family Style Restaurant,1235 W 14 Mile Rd.,Madison Heights,MI,48071,4221
PPK0001030,WYOMI-1,2/21/15,2/21/16,FAWAZ-1,"Wyoming Oil, Inc. & Petro Oil Holding LLC",LLC,Wyoming Oil & Gas,Gas Station- C-Store,8001 Wyoming,Detroit,MI,48204,4478
PPK0001031,MLKMA-1,2/21/15,2/21/16,HALLM-2,Suki Corporation,Corporation,MLK Market,Liquor/C-Store,1141-1143 Martin Luther King,Flint,MI,48503,3265
PPK0001032,BLISS-2,2/9/15,2/9/16,SIGNA-1,"SALMO & SONS, INC.",Corporation,BLISSFIELD MARKET,C Store,505 E. ADRIAN STREET,BLISSFIELD,MI,49228,6099
PPK0001033,WAWAV-1,2/18/15,2/18/16,FAWAZ-1,"Wawa Ventures, LLC",LLC,WaWa Fill Up,Gas Station/C-Store,14243 Ford Rd.,Dearborn,MI,48126,2879
PPK0001034,MADIS-1,2/18/15,2/18/16,TABAK-1,"Madison Club, Inc.",Corporation,Madison Club Bar,Bar/Tavern,33275 Stephenson Hwy,Madison Heights,MI,48071,3570
PPK0001035,POLON-1,2/22/15,2/22/16,LAKEP-1,"Poletown Club House, LTD",Corporation,Polonia Restaurant,restaurant,2934 Yemans St.,Hamtramck,MI,48212,3619
PPK0001036,3STAR-1,2/22/15,2/22/16,KAPLA-1,Sheldon & Logan Inc.,Corporation,3 Star BBQ,Restaurant,11941 Joseph Campau,Hamtramck,MI,48212,3906
PPK0001037,LINWO-1,2/21/15,2/21/16,ATBIN-1,"Linwood Service Shop, Inc.",Corporation,,Gas Station w/C store,12619 Linwood St.,Detriot,MI,48238,4350
PPK0001038,EASTS-1,2/24/15,2/24/16,TABAK-1,"Highfield Enterprises, Inc.",Corporation,East Side Tavern,Tavern,126 Avery,Mt.  Clemens,MI,48043,1921
PPK0001039,L&APE-1,2/23/15,2/23/16,FAWAZ-1,"L & A Petro, LLC",LLC,,Gas Station/ C-Store,3701 W. Davison,Detroit,MI,48238,3967
PPK0001040,NONIS-1,2/19/15,2/19/16,OAKPO-1,"Noni's Grill, LLC",LLC,Noni's Grill,Restaurant,28560 Gratiot,Roseville,MI,48066,3692
PPK0001041,CASSR-1,2/20/15,2/20/16,CANTO-1,Cass Restaurant Corporation,Corporation,Key Largo,Restaurant,4000 Cass Elizabeth Lake Rd.,Waterford,MI,48328,8753
PPK0001042,CAESA-1,2/24/15,2/24/16,GREAT-1,"Ceasar's Liquor Store, Inc. & Ceasar's Properties, LLC",LLC,Ceasar's Liquor Store,Liquor/C-Store,18438 Van Dyke,Detroit,MI,48234,9755
PPK0001043,MIMAS-1,2/24/15,2/24/16,ATBIN-1,Mimas Inc.,Corporation,Mimas,Service Station with C Store,29372 Grand River Ave.,Farmington Hills,MI,48336,2562
PPK0001044,CANTO-2,2/28/15,2/28/16,INSUR10,"Canton City Market, Inc.",Corporation,,C-Store/ Liquor,8177 N. Sheldon Rd.,Canton,MI,48187,4434
PPK0001045,B&BWO-1,2/24/15,2/24/16,FAWAZ-1,"B&B Woodward Marathon, Inc.",Corporation,B&B Woodward Marathon,Gas Station/ C-Store,12524 Woodward Ave.,Highland Park,MI,48203,4239
PPK0001046,KCLIQ-1,2/23/15,2/23/16,FAWAZ-1,M.C.C Investment Inc.,Corporation,KC Liquor,Liquor Store,1370 S Oakwood,Detroit,MI,48217,5964
PPK0001047,CLUBM-1,2/26/15,2/26/16,FAWAZ-1,"Club Marathon, Inc.",Corporation,Club Marathon,Gas Station- C-Store,15430 W. Warren,Dearborn,MI,48126,4743
PPK0001048,i94de-1,2/28/15,2/28/16,FAWAZ-1,"I 94 Petroleum, Inc.",Corporation,I94 Petroleum,Gas Station/C-Store/Auto Repair,17046 Harper Ave.,Detroit,MI,48224,4822
